 ,Length
1,8.67
2,2.34
3,4.36
4,3.72
5,2.43
6,5.79
7,0.52
8,0.53
9,0.75
10,0.46
11,0.34
12,8.09
13,1.98
14,2.93
15,0.40
16,0.51
17,0.59
18,0.84
19,2.82
20,5.16
21,2.18
22,2.62
23,2.97
24,2.58
25,3.69
26,2.62
27,0.34
28,2.80
29,4.41
30,3.07
31,2.94
32,3.07
33,1.77
34,4.19
35,1.17
36,1.30
37,0.68
38,1.22
39,3.92
40,0.31
41,3.51
42,6.52
43,2.29
44,0.33
45,1.41
46,0.45
47,0.92
48,1.02
49,2.28
50,0.92
51,1.31
52,3.27
53,1.87
54,1.03
55,0.59
56,2.53
57,0.33
58,0.20
59,0.67
60,2.51
61,0.90
62,1.30
63,0.57
64,1.85
65,2.55
66,0.60
67,0.45
68,0.72
69,0.50
70,0.87
71,1.28
72,3.99
73,2.53
74,0.26
75,0.44
76,0.60
77,0.99
78,2.28
79,1.61
80,1.25
81,1.21
82,1.06
83,3.12
84,0.83
85,1.95
86,0.96
87,1.07
88,1.01
89,0.90
90,1.91
91,1.09
92,1.09
93,0.75
94,3.59
95,2.93
96,4.23
97,0.98
98,1.25
99,2.00
100,1.79
101,1.23
102,1.76
103,2.57
104,0.81
105,0.77
106,0.73
107,0.87
108,1.01
109,3.03
110,1.03
111,0.74
112,0.54
113,2.01
114,0.50
115,1.88
116,1.49
117,2.26
118,1.76
119,2.03
120,1.14
121,1.47
122,2.02
123,2.20
124,2.08
125,2.13
126,2.50
127,0.55
128,0.62
129,0.43
130,0.39
131,0.25
132,0.72
133,0.40
134,0.41
135,1.02
136,0.68
137,1.36
138,1.39
139,1.23
140,1.46
141,3.27
142,1.26
143,0.58
144,0.33
145,1.74
146,2.06
147,4.90
148,3.10
149,5.42
150,2.09
151,2.07
152,0.58
153,2.40
154,1.23
155,0.77
156,1.14
157,0.70
158,1.48
159,1.88
160,1.18
161,2.23
162,3.72
163,5.17
164,0.86
165,2.93
166,1.48
167,1.74
168,1.62
169,1.51
170,2.69
171,3.38
172,1.96
173,1.89
174,1.23
175,1.69
176,2.52
177,0.73
178,0.58
179,0.81
180,0.94
181,1.50
182,2.44
183,1.36
184,0.67
185,1.52
186,1.25
187,0.36
188,0.79
189,0.55
190,0.61
191,0.59
192,0.71
193,0.28
194,1.96
195,0.38
196,1.69
197,0.37
198,0.81
199,0.42
200,0.55
201,0.62
202,0.45
203,5.77
204,0.31
205,0.79
206,0.52
207,1.25
208,2.04
209,1.22
210,0.63
211,0.63
212,2.27
213,0.55
214,1.05
215,0.56
216,1.93
217,1.43
218,0.98
219,0.46
220,0.48
221,0.83
222,0.65
223,1.48
224,1.97
225,0.64
226,0.95
227,1.17
228,0.35
229,0.57
230,0.29
231,0.71
232,0.37
233,0.51
234,1.28
235,2.12
236,0.74
237,0.99
238,0.29
239,0.78
240,0.37
241,1.37
